name, M, r_0, v_r, v_phi, method, max_tau, n_eval, orbit_type, r_peri, eccentricity
Elliptical Orbit with High Eccentricity (e=0.9), 1, 1, 0, 0, DOP853, 100000, 100000, elliptical, 10, 0.9
Elliptical Orbit with Low Eccentricity (e=0.1), 1, 1, 0, 0, DOP853, 100000, 100000, elliptical, 10, 0.1
Elliptical Orbit that hits the event horizon (r_peri=2.5Rs), 1, 1, 0, 0, DOP853, 1000, 100000, elliptical, 2.5, 0.6
Elliptical Orbit at far periapsis (r_peri=50Rs) (Longer run time), 1, 1, 0, 0, DOP853, 100000, 100000, elliptical, 50, 0.5
Elliptical Orbit showing periapsis precession, 1, 1, 0, 0, DOP853, 100000, 100000, elliptical, 10, 0.6
Circular Orbit (r=10Rs), 1.0, 10, 0, 0.0, DOP853, 1000, 10000, circular, ,
Circular Orbit at large radius (r=50Rs), 1, 50, 0, 0, DOP853, 10000, 100000, circular, ,
Unstable Circular Orbit with radius less than ISCO (r=2.5Rs), 1, 2.5, 0, 0, DOP853, 10000, 100000, circular, ,
Circular Orbit with radius a bit greater than ISCO (r=3.25Rs), 1, 3.25, 0, 0, DOP853, 10000, 100000, circular, ,
Circular Orbit with radius at ISCO (r=3Rs), 1, 3, 0, 0, DOP853, 1000, 10000, circular, ,
Particle that falls straight into black hole, 1, 10, 0, 0, DOP853, 100, 500, custom, ,
Particle that falls straight into black hole (small r), 1, 2, 0, 0, DOP853, 100, 500, custom, ,
