tau,t,r,phi,v_t,v_r,v_phi,energy,angular_momentum,invariant,x,y
0.0000000000e+00,0.0000000000e+00,4.0000000000e+00,0.0000000000e+00,1.4142135624e+00,0.0000000000e+00,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,4.0000000000e+00,0.0000000000e+00
2.0040080160e-01,2.8343918483e-01,3.9987448537e+00,0.0000000000e+00,1.4146576023e+00,-1.2527670859e-02,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9987448537e+00,0.0000000000e+00
4.0080160321e-01,5.6705660275e-01,3.9949778378e+00,0.0000000000e+00,1.4159936347e+00,-2.5071088015e-02,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9949778378e+00,0.0000000000e+00
6.0120240481e-01,8.5103206098e-01,3.9886942109e+00,0.0000000000e+00,1.4182334867e+00,-3.7646106874e-02,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9886942109e+00,0.0000000000e+00
8.0160320641e-01,1.1355485508e+00,3.9798860337e+00,0.0000000000e+00,1.4213971688e+00,-5.0268802885e-02,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9798860337e+00,0.0000000000e+00
1.0020040080e+00,1.4207939307e+00,3.9685421141e+00,0.0000000000e+00,1.4255133381e+00,-6.2955586202e-02,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9685421141e+00,0.0000000000e+00
1.2024048096e+00,1.7069627228e+00,3.9546479275e+00,0.0000000000e+00,1.4306199738e+00,-7.5723322055e-02,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9546479275e+00,0.0000000000e+00
1.4028056112e+00,1.9942580689e+00,3.9381855136e+00,0.0000000000e+00,1.4367652955e+00,-8.8589459034e-02,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9381855136e+00,0.0000000000e+00
1.6032064128e+00,2.2828938981e+00,3.9191333452e+00,0.0000000000e+00,1.4440089698e+00,-1.0157216771e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.9191333452e+00,0.0000000000e+00
1.8036072144e+00,2.5730973700e+00,3.8974661690e+00,0.0000000000e+00,1.4524236598e+00,-1.1469049238e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.8974661690e+00,0.0000000000e+00
2.0040080160e+00,2.8651116689e+00,3.8731548138e+00,0.0000000000e+00,1.4620969998e+00,-1.2796451916e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.8731548138e+00,0.0000000000e+00
2.2044088176e+00,3.1591992454e+00,3.8461659629e+00,0.0000000000e+00,1.4731340998e+00,-1.4141556426e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.8461659629e+00,0.0000000000e+00
2.4048096192e+00,3.4556456237e+00,3.8164618875e+00,0.0000000000e+00,1.4856607229e+00,-1.5506638695e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.8164618875e+00,0.0000000000e+00
2.6052104208e+00,3.7547639301e+00,3.7840001327e+00,0.0000000000e+00,1.4998273290e+00,-1.6894143271e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.7840001327e+00,0.0000000000e+00
2.8056112224e+00,4.0569003384e+00,3.7487331530e+00,0.0000000000e+00,1.5158142503e+00,-1.8306711343e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.7487331530e+00,0.0000000000e+00
3.0060120240e+00,4.3624406967e+00,3.7106078861e+00,0.0000000000e+00,1.5338383623e+00,-1.9747213271e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.7106078861e+00,0.0000000000e+00
3.2064128257e+00,4.6718186808e+00,3.6695652567e+00,0.0000000000e+00,1.5541617595e+00,-2.1218786687e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.6695652567e+00,0.0000000000e+00
3.4068136273e+00,4.9855259464e+00,3.6255395967e+00,0.0000000000e+00,1.5771031598e+00,-2.2724881445e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.6255395967e+00,0.0000000000e+00
3.6072144289e+00,5.3041249217e+00,3.5784579679e+00,0.0000000000e+00,1.6030530725e+00,-2.4269313087e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.5784579679e+00,0.0000000000e+00
3.8076152305e+00,5.6282651405e+00,3.5282393670e+00,0.0000000000e+00,1.6324942518e+00,-2.5856326921e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.5282393670e+00,0.0000000000e+00
4.0080160321e+00,5.9587043828e+00,3.4747937887e+00,0.0000000000e+00,1.6660296985e+00,-2.7490675452e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.4747937887e+00,0.0000000000e+00
4.2084168337e+00,6.2963364597e+00,3.4180211187e+00,0.0000000000e+00,1.7044216616e+00,-2.9177712721e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.4180211187e+00,0.0000000000e+00
4.4088176353e+00,6.6422283429e+00,3.3578098154e+00,0.0000000000e+00,1.7486470222e+00,-3.0923510263e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.3578098154e+00,0.0000000000e+00
4.6092184369e+00,6.9976707185e+00,3.2940353337e+00,0.0000000000e+00,1.7999776832e+00,-3.2735000963e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.2940353337e+00,0.0000000000e+00
4.8096192385e+00,7.3642482782e+00,3.2265582247e+00,0.0000000000e+00,1.8601002012e+00,-3.4620159283e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.2265582247e+00,0.0000000000e+00
5.0100200401e+00,7.7439398288e+00,3.1552218294e+00,0.0000000000e+00,1.9312989894e+00,-3.6588229513e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.1552218294e+00,0.0000000000e+00
5.2104208417e+00,8.1392648628e+00,3.0798494530e+00,0.0000000000e+00,2.0167463411e+00,-3.8650018169e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.0798494530e+00,0.0000000000e+00
5.4108216433e+00,8.5535052041e+00,3.0002408709e+00,0.0000000000e+00,2.1209797826e+00,-4.0818273370e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,3.0002408709e+00,0.0000000000e+00
5.6112224449e+00,8.9910532820e+00,2.9161679614e+00,0.0000000000e+00,2.2507250062e+00,-4.3108183956e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,2.9161679614e+00,0.0000000000e+00
5.8116232465e+00,9.4579853012e+00,2.8273691788e+00,0.0000000000e+00,2.4163964170e+00,-4.5538046361e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,2.8273691788e+00,0.0000000000e+00
6.0120240481e+00,9.9630599849e+00,2.7335424658e+00,0.0000000000e+00,2.6350300143e+00,-4.8130171104e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,2.7335424658e+00,0.0000000000e+00
6.2124248497e+00,1.0519589636e+01,2.6343360205e+00,0.0000000000e+00,2.9365459374e+00,-5.0912139084e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,9.9999999999e-01,2.6343360205e+00,0.0000000000e+00
6.4128256513e+00,1.1149295957e+01,2.5293360581e+00,0.0000000000e+00,3.3787811189e+00,-5.3918581318e-01,0.0000000000e+00,7.0710678118e-01,0.0000000000e+00,9.9999999996e-01,2.5293360581e+00,0.0000000000e+00
6.6132264529e+00,1.1891377337e+01,2.4180502580e+00,0.0000000000e+00,4.0899860769e+00,-5.7193764336e-01,0.0000000000e+00,7.0710678113e-01,0.0000000000e+00,9.9999999963e-01,2.4180502580e+00,0.0000000000e+00
6.8136272545e+00,1.2828499419e+01,2.2998848493e+00,0.0000000000e+00,5.4229621031e+00,-6.0795456641e-01,0.0000000000e+00,7.0710678119e-01,0.0000000000e+00,1.0000000000e+00,2.2998848493e+00,0.0000000000e+00
7.0140280561e+00,1.4191828191e+01,2.1741120109e+00,0.0000000000e+00,8.8295421879e+00,-6.4800910849e-01,0.0000000000e+00,7.0710678120e-01,0.0000000000e+00,1.0000000001e+00,2.1741120109e+00,0.0000000000e+00
7.2144288577e+00,1.7422203227e+01,2.0398219677e+00,0.0000000000e+00,3.6220509203e+01,-6.9316500482e-01,0.0000000000e+00,7.0710678120e-01,0.0000000000e+00,1.0000000009e+00,2.0398219677e+00,0.0000000000e+00
